review,rating
amanah,5
good job,5
seandainya di tambahin fitur tema gelap lebih bagus nih,5
"saya mengucapkan banyak terimakasih atas pengertiannya,saya jadi lebih senang belanja online di aplikasi ini, semoga kedepannya sukses selalu,buat aplikasi ini aku kasih bintang ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🥳🥳🥳🥳🥳",5
Baguss app nya,5
JOZZZZ,5
"harusnya pihak shopee bisa jaga data penggunanya, saya di teleponin terus sama penipu yang sudah tau data saya yang katanya dari pihak shopee, kalau bukan pihak shopee yang jual data saya lalu siapa lagi? saya hanya pake market place shopee aja!",2
suka banget tpi sayang ya gak bisa login akun,4
sangat oke,5
shopee akan hancur gara gara spx,1
very fast and the best,5
sangat membantu umkm,5
semoga tidak mengecewakan konsumen,5
"aplikasi shopee memang bagus, pengiriman COD tepat waktunya, sangat baik dehh, saya gabung dengan spaylater dan shop back tapi sudah saya hapus",5
"mantap ...murah,bagus,dan banyak disc nya pula,bisa cod👍",5
"Sebetulnya aku males ngasih ulasan jelek, tapi udah keterlaluan. memperbudak penjual banget, ada orderan.. padahal udah sesuai yang aku kirim. hanya karena pembeli moodnya berubah barangnya dikembalikan. busettt mana gak bisa dibanding. mempelihara pembeli yang seenaknya sendiri, padahal packing dan jalan kaki menuju konter spx itu butuh tenaga dan waktu. udah gitu fitur blockir udah gak ada. ditambah lagi cs shopee yang gak bisa ngasih solusi. fitur pengembalian barang memang meresahkan.",1
sya trus terang nyaman belanja di shopee,5
mantap,4
semoga aplikasinya makin mudah di gunakan😁,5
mudah cepat dan yaman,5
"Saya di pedesaan, awalnya ada mode pengiriman, sekarang saya tidak bisa belanja karena tidak ada jenis pengiriman ke desa/kecamatan saya",3
apk yg makin lama makin di gampangin dan gratis ongkir sukses slalu,5
susah masuknya sekarang,2
mantul,5
mantap,5
"Main shoppe capit berasa main Selot, bangkrutin.",3
saya sangat senang saat mendownload aplikasi ini pkoknya shoppe tetap di hati dan adalah bintang🌟 nomor 1,5
aplikasi sangat bagus,5
shopee muantaf,5
sukses,5
Bismillah lncar jaya mantap...,5
sangat membantu untuk mencari sesuatu yg kita butuhkan,5
aplikasi yang bagus sekali dan sangat membantu,5
shopee food makin parah mau pesen yang prioritas juga tetep aja pesenan nya di gabung skrng mah udah males pesen makanan via shopee food,1
memuaskan,4
gooodhhhh,5
snag berbelanja di shopee ongkir nya murah,5
wow,5
sangat mudah untuk dilakukan pembelian,5
Sukses selalu 🙏🙏🙏,5
kenapa ya saya sering belanja tapi waktu datang nya kadang 10 hari 1 minggu baru dateng,5
Kenapa sekarang top up-top up game gitu di hapus ya? Padahal di shopee gampang proses nya😭😭 balikin lagi pls.. aku cinta km shopee🧡,2
bagus,5
nice👌,5
buka aplikasi langsung masuk ke shopee video bikin repot aja gk mau nonton di suruh nonton,1
memuaskan,5
Driver shope food susah mendapatkan orderan,1
pelayanan cepat,5
"setelah sekian tahun belanja online di toko ijo, baru sekarang lewat shopee, jadi lebih banyak layanan dan potongan harga. kecuali deskripsi produk dan keterangan berat untuk pengiriman masih menang toko ijo. banyak free ongkirnya, admin sangat fast respond",5
aplikasi untuk belanja onlin tapi kadang suka lemot dan bikin lola dihp,5
Barang sesuai dgn gambar sy puas belanja di shoppe,5
ok,5
EXPEDISI NINJA GAJELAS AMNJINX JANGAN DIPAKE,1
makin kesini makin gak jelas pengiriman tengah jalan tiba tiba batal 🙃,1
harga terjangkau ga kaya tik tok,5
semoga saya sukses di shopee affiliate,5
🤠😎🤓👍🏻,5
sangat puas belanja di shopee,5
bagus,5
membantu usaha saya trimakasih Shopee,5
shopi ini ya sangat bagus banget!!,5
memudahkan kita mendapatkan barang yang tidak ada di lingkungan.,5
sat set,5
berbelan dengan mudah dengan harga yang terjangkau,5
"semenjak bulan 4 tahun 2025, dalam pengiriman paket shopee amat sangat lambat, dan untuk pengguna lain di mohon untuk memberi ratting jelek ke apk ini",4
"kurang memuaskan. kurirnya jarang respon,takutbener habis data.jd ga pernah nelpon pelanggan.saya tugu tugu cek orderan saya,katanya di tolak pelanggan,!!!",2
puas,5
kebocoran data dan berakhir tetap disuruh melunasi tagihan spinjam yang saya sendiri tidak pernah melakukan pinjaman. meskipun penanganan cepat tetapi tidak menyelesaikan masalah dan tetap dibebankan ke pihak pelapor,1
semoga tetap terjaga dan amanah sllu buat shopee,5
"tolong adain fitur buat hapus riwayat pembelian dong min, saya baru instal lagi Shopee gara²lagi butuh saja,saya uninstal gara² gak ada fitur hapus riwayat pembelian",3
aplikasi ini sangt membantu saya.,5
semenjak ada shopee belanja onlien jadi mudah harga bersahabat ongkir nya pas gk kemahalan pokonya manteeep poool buat Shopee semoga sukses selalu,5
"parah , dari pihak kurir belum menerima barang tapi susah di terima, apa harga nya murah nya barang nya jadi malas antar ke alamat yg sesuai",1
shopee pay leter muncul terus. jadi susah melakukan pembayaran,1
shope memang ok,5
good,5
bagus,5
cukup puas,5
"tapi sayang shope paylaternya dan shopee pinjamnya hanya orang2 tertentu padahal saya aktif belanja di shope,",5
bagus bermanfaat bagi kita,5
"mantap jiwa bosku,",5
blk barang barang lebih gampang semua ad,4
cucoo,5
bgus,5
the best of the best,5
bagus aplikasi nya recomend bgt,5
"pelayanan Shopee the best banget, semoga terus ditingkatkan dari segi Fitur, Promosi & juga pelayanannya 🙏",5
sngt bgus,5
mntap,5
siiippp,5
lumayan,3
"shopee food deals gak taunya cuma beli vocher doang, lebih mahal vocher nya dari pada harga makananya jadi 2 kali bayar",2
aku nggak pernah dapet barang yang nggak sesuai semuanya real semuanya sesuai dengan gambar,5
pesan nan pertama yang sangat memuaskan,5
Masya Allah aplikasi ini bagus dan aman,5
Shopi Memang yaho,5
"sopee sekarang makin buruk, soalnya sdah gak bisa cod lagi, pihak jasa kirim spx juga responnya kurang baik.",2
mantap,5
"yang bener kalo update, apa yang di update ini, udah ma berat aplikasinya, tiap update gada perkembangan yang jelas 😤",1
sekarang aplikasinya makin lemot & lambat,4
baik,5
baik sukses,5
mntap,5
jujur saja saya pengguna setia shoppe..tapi akhir akhir ini saya sangat kecewa dengan salah satu patner jasa pengiriman shoppe...pesanan yang telah sampai dikota tujuan yang dalam laporannya pesanan dalam pengantaran ke alamat rumahmu..tiba tiba ditunda sampai 2x tanpa alasan yg jelas..dan saya gak bisa mengganti jas pengiriman yg lain..bila ini berlanjut mending pindah ke yg lain,3
ok lh,5
bagus,5
oke,5
"selama ini nyaman bgt belanja d shopee,,, ekspedisinya bagus kurir²nya ramah dari barang yg aku beli banyak yg bagus sesuai dg diskripsi",5
aplikasi ini sangat bagus,5
blanja di shope memang mntap,5
Good,5
bagus,5
sangat memuaskan belanja di shopee,5
bgs aj,5
sangat membantu,5
sangat memuaskan,5
"layanan bagus,terus tingkatkan",5
ok bgt,5
